Institution,Category_Institution,Accreditation,DateEstablished,Region,Location,Province,Lecture,Student,Category_Total_Student,QS_WUR_Ranking_2024,QS_Asia_Ranking_2024,THE_WUR_Ranking_2024,Member_ASEAN_University_Network
Akademi Kebidanan Kharisma Husada Binjai,Akademi,Baik,12/22/2008,1,Binjai,Sumatera Utara,8,67,Extra Small,Unranked,Unranked,Unranked ,No
Akademi kebidanan Kholisatur Rahmi Binjai,Akademi,Baik,3/12/2002,1,Binjai,Sumatera Utara,10,77,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Keperawatan Kesdam I/Bukit Barisan Binjai,Akademi,Tidak Terakreditasi,12/23/2010,1,Binjai,Sumatera Utara,9,126,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Budidaya,Sekolah,Baik,12/30/1985,1,Binjai,Sumatera Utara,49,1063,Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Manajemen Informatika dan Komputer Kaputama,Sekolah,Baik Sekali,1/31/2003,1,Binjai,Sumatera Utara,29,1399,Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Manajemen Informatika dan Komputer Methodist Binjai,Sekolah,Tidak Terakreditasi,9/4/2014,1,Binjai,Sumatera Utara,19,507,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Teknik Deli Serdang Lubuk Pakam,Akademi,Baik,11/22/2001,1,Deli Serdang,Sumatera Utara,26,510,Extra Small,Unranked,Unranked,Unranked ,No
Institut Kesehatan Deli Husada Deli Tua,Institut,Baik Sekali,5/10/2017,1,Deli Serdang,Sumatera Utara,159,5357,Small Medium,Unranked,Unranked,Unranked ,No
Institut Kesehatan Medistra Lubuk Pakam,Institut,Baik Sekali,6/2/2017,1,Deli Serdang,Sumatera Utara,169,5084,Small Medium,Unranked,Unranked,Unranked ,No
Institut Modern Arsitektur dan Teknologi,Institut,Tidak Terakreditasi,6/17/2021,1,Deli Serdang,Sumatera Utara,18,54,Extra Small,Unranked,Unranked,Unranked ,No
Institut Teknologi dan Bisnis Indonesia,Institut,Baik,3/4/2019,1,Deli Serdang,Sumatera Utara,70,2789,Small,Unranked,Unranked,Unranked ,No
Politeknik Wilmar Bisnis Indonesia,Politeknik,Baik,8/27/2015,1,Deli Serdang,Sumatera Utara,36,890,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Teknologi Sinar Husni,Sekolah,Tidak Terakreditasi,8/21/2003,1,Deli Serdang,Sumatera Utara,24,479,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Amir Hamzah,Universitas,Baik,10/19/1981,1,Deli Serdang,Sumatera Utara,82,1664,Small,Unranked,Unranked,Unranked ,No
Universitas Haji Sumatera Utara,Universitas,Baik Sekali,3/12/2020,1,Deli Serdang,Sumatera Utara,79,1000,Small,Unranked,Unranked,Unranked ,No
Akademi Kebidanan Harapan Keluarga,Akademi,Baik Sekali,9/4/2007,1,Gunungsitoli,Sumatera Utara,21,298,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Nias,Universitas,Baik,9/22/2021,1,Gunungsitoli,Sumatera Utara,116,4570,Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan Kesehatan Baru,Sekolah,Baik,10/10/2019,1,Humbang Hasudutan,Sumatera Utara,20,149,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan Arta Kabanjahe,Sekolah,Tidak Terakreditasi,7/7/2020,1,Karo,Sumatera Utara,26,285,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Quality Berastagi,Universitas,Tidak Terakreditasi,5/8/2017,1,Karo,Sumatera Utara,63,1351,Small,Unranked,Unranked,Unranked ,No
Akademi Keperawatan Gita Matura Abadi Kisaran,Akademi,Baik,5/15/1994,1,Kisaran,Sumatera Utara,5,54,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Asahan,Sekolah,Baik,12/16/1992,1,Kisaran,Sumatera Utara,22,707,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Hukum Muhammadiyah Kisaran,Sekolah,Baik Sekali,7/17/1996,1,Kisaran,Sumatera Utara,10,343,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan As Syifa,Sekolah,Baik Sekali,8/29/2018,1,Kisaran,Sumatera Utara,34,785,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Manajemen Informatika dan Komputer Royal,Sekolah,Baik Sekali,9/8/2011,1,Kisaran,Sumatera Utara,84,3002,Small,Unranked,Unranked,Unranked ,No
Universitas Asahan,Universitas,Baik Sekali,8/17/1985,1,Kisaran,Sumatera Utara,133,5330,Small Medium,Unranked,Unranked,Unranked ,No
Institut Teknologi dan Kesehatan Ika Bina ,Institut,Tidak Terakreditasi,7/13/2022,1,Labuhan Batu,Sumatera Utara,14,101,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Manajemen Informatika dan Komputer Mulia Darma,Sekolah,Tidak Terakreditasi,3/7/2023,1,Labuhan Batu,Sumatera Utara,19,0,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Kebidanan Langkat,Akademi,Baik,8/5/2002,1,Langkat,Sumatera Utara,12,45,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Al Maksum,Sekolah,Baik,2/1/2018,1,Langkat,Sumatera Utara,55,2261,Small,Unranked,Unranked,Unranked ,No
Universitas Putra Abadi Langkat,Universitas,Baik,6/8/2022,1,Langkat,Sumatera Utara,38,662,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Kebidanan Armina Centre Panyabungan,Akademi,Tidak Terakreditasi,5/24/2006,1,Mandailing Natal,Sumatera Utara,15,58,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Kebidanan Madina Husada,Akademi,Baik,6/1/2007,1,Mandailing Natal,Sumatera Utara,5,76,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan Namira Madina,Sekolah,Baik,4/11/2018,1,Mandailing Natal,Sumatera Utara,18,122,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Akuntansi YPK Medan,Akademi,Baik,12/1/1969,1,Medan,Sumatera Utara,5,56,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Informatika Dan Komputer Medicom,Akademi,Baik,1/17/2003,1,Medan,Sumatera Utara,117,687,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Kebidanan Nusantara 2000,Akademi,Tidak Terakreditasi,9/28/2001,1,Medan,Sumatera Utara,8,79,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Kebidanan Sari Husada,Akademi,Tidak Terakreditasi,6/25/2007,1,Medan,Sumatera Utara,10,15,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Keperawatan Columbia Asia,Akademi,Tidak Terakreditasi,6/13/2001,1,Medan,Sumatera Utara,8,19,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Keperawatan Kesdam I/Bukit Barisan Medan,Akademi,Baik Sekali,12/23/2010,1,Medan,Sumatera Utara,15,187,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Keperawatan Sari Husada,Akademi,Tidak Terakreditasi,1/31/2020,1,Medan,Sumatera Utara,0,0,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Keperawatan Wirahusada Medan,Akademi,Baik,1/3/2012,1,Medan,Sumatera Utara,10,125,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Manajemen Informatika dan Komputer Itmi,Akademi,Tidak Terakreditasi,12/12/2000,1,Medan,Sumatera Utara,4,0,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Manajemen Informatika dan Komputer Universal,Akademi,Baik,9/14/2000,1,Medan,Sumatera Utara,28,209,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Manajemen Informatika dan Komputer Widya Loka Medan,Akademi,Tidak Terakreditasi,8/23/1999,1,Medan,Sumatera Utara,14,287,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Maritim Belawan,Akademi,Baik,4/19/1992,1,Medan,Sumatera Utara,16,220,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Pariwisata dan Perhotelan Darma Agung,Akademi,Baik Sekali,12/13/1962,1,Medan,Sumatera Utara,17,212,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Pariwisata Medan Hotel School,Akademi,Tidak Terakreditasi,8/9/2004,1,Medan,Sumatera Utara,9,53,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Pariwisata Nusantara Medan,Akademi,Tidak Terakreditasi,9/21/2000,1,Medan,Sumatera Utara,8,95,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Pendidikan Kesehatan Talitakum,Akademi,Tidak Terakreditasi,9/11/2014,1,Medan,Sumatera Utara,12,44,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Perniagaan dan Perusahaan APIPSU Medan,Akademi,Tidak Terakreditasi,10/10/1956,1,Medan,Sumatera Utara,11,22,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Teknik Indonesia Cut Meutia,Akademi,Baik,7/1/1987,1,Medan,Sumatera Utara,14,194,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Teknologi Industri Immanuel,Akademi,Baik,5/6/1998,1,Medan,Sumatera Utara,14,178,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Teknologi Radiodiagnostik Dan Radioterapi Yayasan Amal Bhakti Medan,Akademi,Tidak Terakreditasi,11/9/2012,1,Medan,Sumatera Utara,15,315,Extra Small,Unranked,Unranked,Unranked ,No
Institut Bisnis dan Komputer Indonesia,Institut,Baik,6/22/2022,1,Medan,Sumatera Utara,25,512,Extra Small,Unranked,Unranked,Unranked ,No
Institut Bisnis Informasi Teknologi dan Bisnis,Institut,Baik,12/13/2017,1,Medan,Sumatera Utara,52,808,Extra Small,Unranked,Unranked,Unranked ,No
Institut Kesehatan Helvetia,Institut,Baik Sekali,7/28/2016,1,Medan,Sumatera Utara,210,4480,Small,Unranked,Unranked,Unranked ,No
Institut Kesehatan Sumatera Utara,Institut,Baik,6/10/2019,1,Medan,Sumatera Utara,49,595,Extra Small,Unranked,Unranked,Unranked ,No
Institut Sains dan Teknologi Td Pardede,Institut,Baik,9/22/1987,1,Medan,Sumatera Utara,59,551,Extra Small,Unranked,Unranked,Unranked ,No
Institut Teknologi dan Bisnis Carnegie,Institut,Tidak Terakreditasi,2/17/2022,1,Medan,Sumatera Utara,9,7,Extra Small,Unranked,Unranked,Unranked ,No
Institut Teknologi Sawit Indonesia,Institut,Baik Sekali,12/15/2021,1,Medan,Sumatera Utara,60,1681,Small,Unranked,Unranked,Unranked ,No
Politeknik Adiguna Maritim Indonesia Medan,Politeknik,Baik Sekali,2/18/2020,1,Medan,Sumatera Utara,21,839,Extra Small,Unranked,Unranked,Unranked ,No
Politeknik Cendana,Politeknik,Baik,1/31/2020,1,Medan,Sumatera Utara,16,354,Extra Small,Unranked,Unranked,Unranked ,No
Politeknik Ganesha Medan ,Politeknik,Baik,3/12/2002,1,Medan,Sumatera Utara,24,676,Extra Small,Unranked,Unranked,Unranked ,No
Politeknik Kesehatan YRSU Dr Rusdi,Politeknik,Tidak Terakreditasi,6/17/2009,1,Medan,Sumatera Utara,16,79,Extra Small,Unranked,Unranked,Unranked ,No
Politeknik LP3I Medan,Politeknik,Baik,10/10/2003,1,Medan,Sumatera Utara,51,645,Extra Small,Unranked,Unranked,Unranked ,No
Politeknik Mandiri Bina Prestasi,Politeknik,Baik,8/22/2001,1,Medan,Sumatera Utara,34,391,Extra Small,Unranked,Unranked,Unranked ,No
Politeknik Unggul LP3M,Politeknik,Baik,3/21/2001,1,Medan,Sumatera Utara,48,829,Extra Small,Unranked,Unranked,Unranked ,No
Politeknik Unggulan Cipta Mandiri,Politeknik,Tidak Terakreditasi,1/31/2022,1,Medan,Sumatera Utara,37,220,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Bahasa Asing Persahabatan Internasional Asia,Sekolah,Baik,7/25/2008,1,Medan,Sumatera Utara,29,610,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Ekonomi Eka Prasetya,Sekolah,Baik,1/2/2007,1,Medan,Sumatera Utara,33,1382,Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Ekonomi Graha Kirana,Sekolah,Baik,7/14/1998,1,Medan,Sumatera Utara,18,408,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Ekonomi IBMI Medan,Sekolah,Baik,8/2/2001,1,Medan,Sumatera Utara,20,415,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Ekonomi Pangeran Antasari,Sekolah,Tidak Terakreditasi,3/10/2021,1,Medan,Sumatera Utara,22,130,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Ekonomi Profesional Indonesia,Sekolah,Tidak Terakreditasi,10/17/2014,1,Medan,Sumatera Utara,14,297,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Ekonomi Professional Manajemen College Indonesia,Sekolah,Baik Sekali,4/30/2009,1,Medan,Sumatera Utara,28,813,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Hukum Asy-Syafi iyah Medan,Sekolah,Tidak Terakreditasi,9/5/2018,1,Medan,Sumatera Utara,4,0,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Hukum Graha Kirana,Sekolah,Baik,8/14/1998,1,Medan,Sumatera Utara,15,485,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan Binalita Sudama,Sekolah,Baik,12/30/2002,1,Medan,Sumatera Utara,37,575,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan Columbia Asia,Sekolah,Tidak Terakreditasi,3/8/2023,1,Medan,Sumatera Utara,8,81,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan Darmo,Sekolah,Tidak Terakreditasi,4/20/2022,1,Medan,Sumatera Utara,37,66,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan Flora,Sekolah,Baik Sekali,3/2/2009,1,Medan,Sumatera Utara,62,1490,Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan Indah Medan,Sekolah,Tidak Terakreditasi,10/2/2018,1,Medan,Sumatera Utara,31,231,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan Malahayati Medan,Sekolah,Tidak Terakreditasi,10/4/2023,1,Medan,Sumatera Utara,7,127,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan Mitra Husada Medan,Sekolah,Baik Sekali,10/18/2017,1,Medan,Sumatera Utara,76,2422,Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan Santa Elisabeth Medan,Sekolah,Baik Sekali,8/3/2007,1,Medan,Sumatera Utara,59,812,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan Sehat Medan,Sekolah,Baik,1/31/2020,1,Medan,Sumatera Utara,25,255,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan Sehati,Sekolah,Baik,3/11/2022,1,Medan,Sumatera Utara,16,146,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan Senior Medan,Sekolah,Baik,10/17/2014,1,Medan,Sumatera Utara,65,2416,Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan Siti Hajar,Sekolah,Baik,10/17/2014,1,Medan,Sumatera Utara,13,257,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan Widya Husada Medan,Sekolah,Baik,3/27/2013,1,Medan,Sumatera Utara,16,244,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Komunikasi Pembangunan,Sekolah,Tidak Terakreditasi,5/18/1987,1,Medan,Sumatera Utara,12,758,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Manajemen Sukma,Sekolah,Baik Sekali,6/9/2000,1,Medan,Sumatera Utara,34,1493,Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Amal Bakti,Sekolah,Baik,8/6/2019,1,Medan,Sumatera Utara,11,543,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Asy-Syafi iyah Internasional Medan,Sekolah,Tidak Terakreditasi,9/5/2018,1,Medan,Sumatera Utara,10,67,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Pangeran Antasari,Sekolah,Tidak Terakreditasi,5/31/2017,1,Medan,Sumatera Utara,19,243,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Manajemen Bisnis Multi Sarana Manajemen Administrasi dan Rekayasa Teknologi,Sekolah,Tidak Terakreditasi,5/7/2014,1,Medan,Sumatera Utara,23,361,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Manajemen Informatika dan Komputer Kristen Neumann Indonesia,Sekolah,Tidak Terakreditasi,7/22/2008,1,Medan,Sumatera Utara,11,117,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Manajemen Informatika dan Komputer Logika,Sekolah,Baik,4/24/2002,1,Medan,Sumatera Utara,29,285,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Manajemen Informatika dan Komputer Pelita Nusantara,Sekolah,Baik Sekali,8/22/2007,1,Medan,Sumatera Utara,52,1310,Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Manajemen Informatika dan Komputer Time,Sekolah,Baik,1/28/2002,1,Medan,Sumatera Utara,24,823,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Manajemen Informatika dan Komputer Triguna Dharma,Sekolah,Baik,7/8/2008,1,Medan,Sumatera Utara,79,3952,Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Olahraga Dan Kesehatan Bina Guna,Sekolah,Baik,4/14/1979,1,Medan,Sumatera Utara,21,1087,Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Teknologi Immanuel,Sekolah,Tidak Terakreditasi,11/13/1990,1,Medan,Sumatera Utara,14,202,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Al-Azhar,Universitas,Baik,1/24/1983,1,Medan,Sumatera Utara,83,3408,Small,Unranked,Unranked,Unranked ,No
Universitas Alwashliyah,Universitas,Baik,5/18/1958,1,Medan,Sumatera Utara,173,2897,Small,Unranked,Unranked,Unranked ,No
Universitas Audi Indonesia,Universitas,Tidak Terakreditasi,4/30/2019,1,Medan,Sumatera Utara,52,2441,Small,Unranked,Unranked,Unranked ,No
Universitas Battuta,Universitas,Tidak Terakreditasi,1/8/2020,1,Medan,Sumatera Utara,66,897,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Budi Darma,Universitas,Baik,4/30/2020,1,Medan,Sumatera Utara,117,3059,Small,Unranked,Unranked,Unranked ,No
Universitas Darma Agung,Universitas,Baik,5/29/1959,1,Medan,Sumatera Utara,167,4028,Small,Unranked,Unranked,Unranked ,No
Universitas Deli Sumatera,Universitas,Tidak Terakreditasi,7/5/2021,1,Medan,Sumatera Utara,37,309,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Dharmawangsa,Universitas,Baik Sekali,5/22/1986,1,Medan,Sumatera Utara,125,3620,Small,Unranked,Unranked,Unranked ,No
Universitas Harapan Medan,Universitas,Baik,8/24/2017,1,Medan,Sumatera Utara,142,4816,Small,Unranked,Unranked,Unranked ,No
Universitas HKBP Nommensen,Universitas,Baik Sekali,10/7/1954,1,Medan,Sumatera Utara,335,12130,Medium,Unranked,Unranked,Unranked ,No
Universitas IBBI,Universitas,Baik Sekali,8/24/2020,1,Medan,Sumatera Utara,65,289,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Imelda Medan,Universitas,Baik,10/18/2019,1,Medan,Sumatera Utara,121,1611,Small,Unranked,Unranked,Unranked ,No
Universitas Islam Sumatera Utara,Universitas,Baik Sekali,1/7/1952,1,Medan,Sumatera Utara,321,8664,Small Medium,Unranked,Unranked,Unranked ,No
Universitas Katolik Santo Thomas,Universitas,Baik Sekali,6/20/1984,1,Medan,Sumatera Utara,162,5917,Small Medium,Unranked,Unranked,Unranked ,No
Universitas Mahkota Tricom Unggul,Universitas,Baik,7/26/2021,1,Medan,Sumatera Utara,27,229,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Mandiri Bina Prestasi,Universitas,Baik,2/21/2022,1,Medan,Sumatera Utara,46,939,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Medan Area,Universitas,Baik Sekali,4/29/1983,1,Medan,Sumatera Utara,321,11943,Medium,Unranked,Unranked,Unranked ,No
Universitas Methodist Indonesia,Universitas,Baik Sekali,8/1/1965,1,Medan,Sumatera Utara,177,4918,Small,Unranked,Unranked,Unranked ,No
Universitas Mikroskil,Universitas,Baik Sekali,7/26/2021,1,Medan,Sumatera Utara,110,3669,Small,Unranked,Unranked,Unranked ,No
Universitas Muhammadiyah Sumatera Utara,Universitas,Unggul,2/28/1957,1,Medan,Sumatera Utara,634,21856,Large,Unranked,Unranked,Unranked ,No
Universitas Murni Teguh,Universitas,Tidak Terakreditasi,7/24/2023,1,Medan,Sumatera Utara,37,694,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Muslim Nusantara Al-Washliyah,Universitas,Baik Sekali,8/8/1996,1,Medan,Sumatera Utara,226,5050,Small Medium,Unranked,Unranked,Unranked ,No
Universitas Nahdlatul Ulama Sumatera Utara,Universitas,Baik,10/17/2014,1,Medan,Sumatera Utara,70,2120,Small,Unranked,Unranked,Unranked ,No
Universitas Pembangunan Panca Budi,Universitas,Baik Sekali,6/13/1964,1,Medan,Sumatera Utara,401,21118,Large,Unranked,Unranked,Unranked ,No
Universitas Pembinaan Masyarakat Indonesia,Universitas,Baik,10/5/1979,1,Medan,Sumatera Utara,126,2477,Small,Unranked,Unranked,Unranked ,No
Universitas Potensi Utama,Universitas,Baik Sekali,7/9/2003,1,Medan,Sumatera Utara,242,7410,Small Medium,Unranked,Unranked,Unranked ,No
Universitas Prima Indonesia,Universitas,Baik Sekali,10/13/2005,1,Medan,Sumatera Utara,527,18035,Medium,Unranked,Unranked,Unranked ,No
Universitas Quality,Universitas,Baik,12/18/2008,1,Medan,Sumatera Utara,88,1989,Small,Unranked,Unranked,Unranked ,No
Universitas Sari Mutiara Indonesia Medan,Universitas,Baik Sekali,1/10/2013,1,Medan,Sumatera Utara,215,5746,Small Medium,Unranked,Unranked,Unranked ,No
Universitas Satya Terra Bhinneka,Universitas,Tidak Terakreditasi,8/16/2022,1,Medan,Sumatera Utara,44,596,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Tjut Nyak Dhien,Universitas,Baik Sekali,10/10/1956,1,Medan,Sumatera Utara,137,1776,Small,Unranked,Unranked,Unranked ,No
Akademi Kebidanan Delima,Akademi,Tidak Terakreditasi,8/3/2007,1,Nias,Sumatera Utara,8,0,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Kebidanan Umi Bagan Batu,Akademi,Baik,1/27/2023,1,Nias Selatan,Sumatera Utara,0,0,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Nias Raya,Universitas,Baik,7/29/2021,1,Nias Selatan,Sumatera Utara,118,4759,Small,Unranked,Unranked,Unranked ,No
Akademi Kebidanan Baruna Husada Sibuhuan,Akademi,Baik,3/9/2007,1,Padang Lawas,Sumatera Utara,8,131,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Padang Lawas,Sekolah,Baik,4/18/2018,1,Padang Lawas,Sumatera Utara,15,168,Extra Small,Unranked,Unranked,Unranked ,No
Institut Teknologi dan Sains Padang Lawas Utara,Institut,Tidak Terakreditasi,4/19/2021,1,Padang Lawas Utara,Sumatera Utara,21,341,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan Paluta Husada,Sekolah,Baik,3/21/2022,1,Padang Lawas Utara,Sumatera Utara,12,190,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Kebidanan Matorkis,Akademi,Baik,9/5/2006,1,Padang Sidempuan,Sumatera Utara,9,50,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan Sentral Padang Sidempuan,Sekolah,Tidak Terakreditasi,11/14/2023,1,Padang Sidempuan,Sumatera Utara,15,167,Extra Small,Unranked,Unranked,Unranked ,No
Institut Pendidikan Tapanuli Selatan,Institut,Baik Sekali,11/16/2017,1,Padang Sidempuan,Sumatera Utara,84,3035,Small,Unranked,Unranked,Unranked ,No
Institut Teknologi dan Kesehatan Sumatera Utara,Institut,Tidak Terakreditasi,8/5/2020,1,Padang Sidempuan,Sumatera Utara,25,116,Extra Small,Unranked,Unranked,Unranked ,No
Institut Teknologi dan Sains Nahdlatul Ulama Padangsidimpuan,Institut,Tidak Terakreditasi,2/2/2022,1,Padang Sidempuan,Sumatera Utara,0,48,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan Darmais Padangsidimpuan,Sekolah,Tidak Terakreditasi,10/17/2014,1,Padang Sidempuan,Sumatera Utara,18,187,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Manajemen Informatika dan Komputer Citra Mandiri Padangsidimpuan,Sekolah,Tidak Terakreditasi,5/22/2018,1,Padang Sidempuan,Sumatera Utara,4,99,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Aufa Royhan,Universitas,Baik Sekali,6/17/2019,1,Padang Sidempuan,Sumatera Utara,113,2936,Small,Unranked,Unranked,Unranked ,No
Universitas Graha Nusantara,Universitas,Baik Sekali,3/11/1985,1,Padang Sidempuan,Sumatera Utara,155,2429,Small,Unranked,Unranked,Unranked ,No
Universitas Muhammadiyah Tapanuli Selatan,Universitas,Baik Sekali,7/15/1983,1,Padang Sidempuan,Sumatera Utara,177,4705,Small,Unranked,Unranked,Unranked ,No
Akademi Keperawatan Kesdam I/Bukit Barisan Pematang Siantar,Akademi,Baik Sekali,12/23/2010,1,Pematangsiantar,Sumatera Utara,13,193,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Keperawatan Surya Nusantara,Akademi,Tidak Terakreditasi,7/1/2002,1,Pematangsiantar,Sumatera Utara,7,126,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Manajemen Informatika dan Komputer Multicom,Akademi,Tidak Terakreditasi,6/9/2002,1,Pematangsiantar,Sumatera Utara,13,94,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Manajemen Informatika dan Komputer Parbina Nusantara,Akademi,Baik,9/28/2001,1,Pematangsiantar,Sumatera Utara,15,113,Extra Small,Unranked,Unranked,Unranked ,No
Politeknik Bisnis Indonesia,Politeknik,Baik,5/24/2011,1,Pematangsiantar,Sumatera Utara,24,261,Extra Small,Unranked,Unranked,Unranked ,No
Politeknik Gihon,Politeknik,Tidak Terakreditasi,10/17/2014,1,Pematangsiantar,Sumatera Utara,12,109,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Filsafat Teologi Surya Nusantara,Sekolah,Baik,1/1/1997,1,Pematangsiantar,Sumatera Utara,5,219,Extra Small,Unranked,Unranked,Unranked ,No
